debugRCQK74:debugXX1A8H,initialized,0,,1546905986156
debugRCQK74:debugXX1A8H,window_resize,0,"[1024, 746]",1546905986156
debugRCQK74:debugXX1A8H,focus,4736,off,1546905990892
debugRCQK74:debugXX1A8H,focus,1573,on,1546905992465
debugX7XFE1:debugDTQSYA,initialized,0,,1546907761822
debugX7XFE1:debugDTQSYA,window_resize,0,"[1024, 746]",1546907761822
debugJ8H2G7:debugCB8XG4,initialized,0,,1546910234334
debugJ8H2G7:debugCB8XG4,window_resize,0,"[1024, 746]",1546910234334
debugJ8H2G7:debugCB8XG4,focus,398032,off,1546910632366
debugJ8H2G7:debugCB8XG4,focus,1828,on,1546910634194
debug0LHBU5:debugLV39QB,initialized,0,,1547141184267
debug0LHBU5:debugLV39QB,window_resize,0,"[1024, 684]",1547141184267
debug0LHBU5:debugLV39QB,window_resize,16519,"[567, 684]",1547141200786
debug0LHBU5:debugLV39QB,window_resize,701,"[1108, 684]",1547141201487
debug0LHBU5:debugLV39QB,window_resize,1553,"[1101, 684]",1547141203040
debug0LHBU5:debugLV39QB,window_resize,382,"[1100, 684]",1547141203422
debug0LHBU5:debugLV39QB,window_resize,1080,"[1108, 684]",1547141204502
debug0LHBU5:debugLV39QB,window_resize,1248,"[688, 684]",1547141205750
debug0LHBU5:debugLV39QB,window_resize,1685,"[552, 684]",1547141207435
debug0LHBU5:debugLV39QB,focus,9721,off,1547141217156
debug0LHBU5:debugLV39QB,focus,1011,on,1547141218167
debug0LHBU5:debugLV39QB,window_resize,597900,"[584, 684]",1547141816067
debug0LHBU5:debugLV39QB,focus,79220,off,1547141895287
debug0LHBU5:debugLV39QB,focus,333974,on,1547142229261
debugMEDSAV:debugTARJZI,initialized,0,,1547147164287
debugMEDSAV:debugTARJZI,window_resize,0,"[1024, 684]",1547147164287
debugBX688M:debugFKV0PH,initialized,0,,1547702318334
debugBX688M:debugFKV0PH,window_resize,0,"[1024, 684]",1547702318334
debug78TAPC:debugYNAOCY,initialized,0,,1547704650662
debug78TAPC:debugYNAOCY,window_resize,0,"[1024, 684]",1547704650662
